,name,mape mean,mae mean,R2 mean
168,relu_64_areg_mare_GN0.1_lr0.001,11.536601652725803,5.573506328918289,0.9200571602684959
165,relu_64_kareg_mare_GN0.1_lr0.001,11.576115738147486,5.688325909492281,0.9169832160427226
141,relu_64_kareg_mare_GN0.005_lr0.001,11.597698193053073,5.69793795407956,0.916494166408039
149,relu_64_kareg_mare_GN0.01_lr0.001,11.686140349548928,5.953238858338022,0.9175263456763347
169,relu_64_kareg_mare_GN0.1_lr0.0001,11.830622488232972,5.258055638309612,0.9136640267229091
161,relu_64_kareg_mare_GN0.05_lr0.0001,11.900788110881136,6.085901489048875,0.9128823855051491
159,relu_64_kreg_mare_GN0.05_lr0.001,11.917879975551365,5.375168698861038,0.9178431249240672
53,relu_64_areg_GN0.5_lr0.001,11.931886326377615,7.7241987279424364,0.9345461305669407
172,relu_64_areg_mare_GN0.1_lr0.0001,12.00096846790462,5.635083885499712,0.9157921910204591
151,relu_64_kreg_mare_GN0.01_lr0.001,12.002368778076105,5.405081594095512,0.9108527495926082
167,relu_64_kreg_mare_GN0.1_lr0.001,12.015724387826145,5.262646020782495,0.914935615116331
164,relu_64_areg_mare_GN0.05_lr0.0001,12.020918997343967,5.561325318907129,0.9122768026186406
160,relu_64_areg_mare_GN0.05_lr0.001,12.062778944537088,5.920015911300435,0.9166742451079716
37,relu_64_areg_GN0.05_lr0.0005,12.09298481806225,7.488733633175241,0.9311819476302802
57,relu_64_kreg_GN0.5_lr0.0005,12.101096396456196,7.69454192148963,0.9326575520903406
49,relu_64_kreg_GN0.5_lr0.001,12.102880393221145,7.368940845029965,0.9329680668953516
163,relu_64_kreg_mare_GN0.05_lr0.0001,12.120555619607313,5.706945532639948,0.9078615379674358
157,relu_64_kareg_mare_GN0.05_lr0.001,12.132441499203894,5.385115555449616,0.9139576376271287
25,relu_64_kreg_GN0.05_lr0.001,12.144117679755187,7.7548178099141305,0.9325072116347484
145,relu_64_kareg_mare_GN0.005_lr0.0001,12.146403288935796,6.245023334527402,0.9080691012962019
