,name,mape mean,mae mean,R2 mean
169,relu_64_kareg_mare_GN0.1_lr0.0001,11.830622488232972,5.258055638309612,0.9136640267229091
167,relu_64_kreg_mare_GN0.1_lr0.001,12.015724387826145,5.262646020782495,0.914935615116331
166,relu_64_mare_GN0.1_lr0.001,12.265601666562786,5.295648924235651,0.9120129034186366
159,relu_64_kreg_mare_GN0.05_lr0.001,11.917879975551365,5.375168698861038,0.9178431249240672
157,relu_64_kareg_mare_GN0.05_lr0.001,12.132441499203894,5.385115555449616,0.9139576376271287
151,relu_64_kreg_mare_GN0.01_lr0.001,12.002368778076105,5.405081594095512,0.9108527495926082
148,relu_64_areg_mare_GN0.005_lr0.0001,12.226654650267848,5.437002315196829,0.9103897291913782
144,relu_64_areg_mare_GN0.005_lr0.001,12.323795011585275,5.446255044510621,0.9117235310750144
164,relu_64_areg_mare_GN0.05_lr0.0001,12.020918997343967,5.561325318907129,0.9122768026186406
168,relu_64_areg_mare_GN0.1_lr0.001,11.536601652725803,5.573506328918289,0.9200571602684959
170,relu_64_mare_GN0.1_lr0.0001,12.30564482190367,5.610119208247589,0.9084519713428065
172,relu_64_areg_mare_GN0.1_lr0.0001,12.00096846790462,5.635083885499712,0.9157921910204591
165,relu_64_kareg_mare_GN0.1_lr0.001,11.576115738147486,5.688325909492281,0.9169832160427226
141,relu_64_kareg_mare_GN0.005_lr0.001,11.597698193053073,5.69793795407956,0.916494166408039
163,relu_64_kreg_mare_GN0.05_lr0.0001,12.120555619607313,5.706945532639948,0.9078615379674358
152,relu_64_areg_mare_GN0.01_lr0.001,12.329008233194296,5.713989392065919,0.9136875575933265
162,relu_64_mare_GN0.05_lr0.0001,12.52783085019535,5.759255058913111,0.9091530097813465
156,relu_64_areg_mare_GN0.01_lr0.0001,12.28072349976892,5.7674019571457995,0.9108671763752774
171,relu_64_kreg_mare_GN0.1_lr0.0001,12.374620961434244,5.850593496948441,0.9061893670287311
153,relu_64_kareg_mare_GN0.01_lr0.0001,12.217697871091385,5.911523592109425,0.9092357020974298
