name,test C6H6(GT) R2,test C6H6(GT) mae,test C6H6(GT) max relative mae,test C6H6(GT) mean relative mae,test CO(GT) R2,test CO(GT) mae,test CO(GT) max relative mae,test CO(GT) mean relative mae,test NO2(GT) R2,test NO2(GT) mae,test NO2(GT) max relative mae,test NO2(GT) mean relative mae,test NOx(GT) R2,test NOx(GT) mae,test NOx(GT) max relative mae,test NOx(GT) mean relative mae,train C6H6(GT) R2,train C6H6(GT) mae,train C6H6(GT) max relative mae,train C6H6(GT) mean relative mae,train CO(GT) R2,train CO(GT) mae,train CO(GT) max relative mae,train CO(GT) mean relative mae,train NO2(GT) R2,train NO2(GT) mae,train NO2(GT) max relative mae,train NO2(GT) mean relative mae,train NOx(GT) R2,train NOx(GT) mae,train NOx(GT) max relative mae,train NOx(GT) mean relative mae
results/relu_256_GN0.05_lr0.0001,0.9993688593653572,0.12607673226147387,1.1142563090509272,0.020006393038365287,0.9066388031465888,0.27567863366492823,15.54221177101135,0.21964491695956687,0.8588702691912645,12.716590152105,15.887313842773438,0.13602290278967155,0.9455334336680942,32.37856747420774,10.038491249084473,0.171719729324077,0.9995119174955924,0.11457295988434685,1.009907916832692,0.017478998535171358,0.9265579809511196,0.2412524530638781,19.967144966125485,0.19121913824350856,0.906587463033956,9.189761596002807,20.618427276611328,0.0896399507918706,0.9683199770838088,19.178406606647105,4.830155623586554,0.08775958269292226
results/relu_32_GN0.5_lr0.001,0.996789076111654,0.2614018802557363,5.44813856616899,0.05253355116172189,0.8984370371513544,0.289559018561832,15.26638889312744,0.23199836380742025,0.8517735794776666,12.994193000445499,22.469822692871094,0.1426036308606423,0.9447793258959798,32.13112740885221,12.231400489807127,0.17148051915287768,0.9967374289900012,0.25927366121083195,7.397190470914029,0.04688223332452651,0.9148841317907188,0.2661273845340696,19.678842067718502,0.20971163497676434,0.890889421639504,10.621373107512824,28.49724578857422,0.10826928622466847,0.9630264299019384,22.721856164323693,9.023810386657717,0.10744384698433287
results/relu_64_GN0.5_lr0.001,0.9975449609878796,0.2129678114000736,2.7194315403984954,0.03816096664999738,0.8955463535092161,0.28640093790242943,14.544208288192749,0.2268995324384521,0.8512876959098942,12.87255979456469,18.43836975097656,0.13835438242458376,0.9433064582519662,32.33789424726841,11.059890747070312,0.16908372647157646,0.997625891523258,0.20778977007173327,2.2014999454958333,0.03349954070314032,0.9190046648386946,0.25827905417789204,19.974776744842526,0.20180931077802547,0.8948981055930375,10.116885436911208,21.91006088256836,0.10109943699144544,0.9634326498374364,21.832340249214315,3.5626907348632812,0.09997052982229224
results/relu_128_GN0.5_lr0.001,0.9983190136482012,0.19277077736900736,1.7819261092621508,0.03196829237288023,0.8956714582833667,0.2913632428480121,17.550651073455807,0.23516390889978875,0.8490788307343954,12.937145702254012,17.246183776855467,0.1366822037278502,0.9415944531510124,32.75335703404318,10.767754554748537,0.16808377058632368,0.998387102275697,0.17693088899377454,2.8770174190273043,0.02794385508616131,0.9213416183815952,0.2510420359275428,21.345321178436283,0.20232103162573786,0.9133930757573846,8.982510089030132,8.764642715454103,0.08640376009072846,0.9752762610240092,17.17603229331891,3.508841037750244,0.08155164274915573
results/relu_256_GN0.5_lr0.001,0.9990769174931108,0.14956086241881528,1.0133174803729688,0.023520043771153864,0.8996176423513653,0.2802884089949608,15.019606590270994,0.2220329148062425,0.8533263702909313,12.746356670180022,16.372647094726563,0.13342978788192664,0.9379162973533979,34.218280919114385,9.35792350769043,0.17477752575623612,0.9992867293015,0.13334987161213452,1.24764129912415,0.020166262271323884,0.927899169171866,0.2329880213120337,19.037350654602047,0.18341204646728326,0.9472976385901956,6.1694477057349015,9.44857120513916,0.05838174108364098,0.9841680336564672,11.837009806905868,1.9267420768737795,0.05266774077040776
results/relu_32_GN0.5_lr0.0005,0.9974623030125284,0.2263245632160359,2.5997916384084685,0.03485591931133202,0.8967335518156514,0.2856000627340517,15.460465192794798,0.22966648281597604,0.8560534428187402,12.795164718481422,20.013090515136717,0.13869707932986794,0.9445866268569432,31.94977733952692,8.374914169311522,0.16268376365359602,0.9971645793840622,0.2274174733024556,2.540289728259742,0.032969817334653484,0.9157008756153228,0.2627729225092437,21.074341773986813,0.20672948101290844,0.8849006612011089,10.883276243669203,26.568449020385746,0.11214485733357768,0.959757569881476,24.214451852773326,3.633591501336349,0.11664447886995652
results/relu_64_GN0.5_lr0.0005,0.9979909557962012,0.2122167051554797,1.4102328358798917,0.034895272703086164,0.8964528234192851,0.28792539785186433,15.925795078277586,0.2342148053486092,0.8462902721333697,13.036291057789953,18.88362274169922,0.14086481102418089,0.9385556745753724,32.59090065317433,9.673563957214355,0.1696786296362682,0.9979732591579508,0.20684639541576533,3.5300281635249244,0.032434295631983766,0.91790807459354,0.2593700482122394,20.146447658538815,0.20585876396855124,0.8897229888783715,10.52728987906194,26.43982124328613,0.10494750338360732,0.9630236360441474,22.724002446970392,3.256023406982422,0.1063003356964547
results/relu_128_GN0.5_lr0.0005,0.9983237467357308,0.1869988998318691,1.6228049058521954,0.031172074405386174,0.900649967368965,0.2799735707628344,15.259480714797974,0.22560271090681536,0.8610452199194699,12.329242917819489,17.21623840332031,0.13265038363635073,0.9433257694293736,32.02686282451829,9.046287536621094,0.1609938328067329,0.9984667171197159,0.18210730251772536,2.9187500476396244,0.02952770398189635,0.922844849122504,0.24484501904043066,20.62496566772461,0.1990252809229988,0.918229240453075,8.666000228008649,26.803009033203125,0.0900829601896797,0.9715507654311474,19.34121991153998,5.3725624084472665,0.09415461363143147
results/relu_256_GN0.5_lr0.0005,0.9987911976768208,0.15302152847195527,1.1149220331310925,0.023491874177147792,0.9063939858122048,0.2780146566109193,15.060746908187866,0.21509870588564384,0.8538519229422672,12.45625675675735,18.59716796875,0.13175575907758574,0.9390621405236532,33.07546210513341,10.211912155151367,0.1666194316081946,0.9993855667792786,0.13630665189176475,0.7848497464921235,0.02060876774768557,0.9304752834968086,0.23203489617611364,20.29733562469482,0.1812687381716204,0.935734861548997,7.3683916979240465,15.288253784179688,0.07335637689569154,0.9806324585019416,13.74254185283758,2.567115068435669,0.06431442071899349
results/relu_32_GN0.5_lr0.0001,0.9977628386662124,0.2506527472183334,1.6779187568100162,0.03902427327590592,0.9000782744452684,0.28907713441109345,15.946699619293213,0.23410522772995224,0.8539438204912002,13.028948411286821,14.478045654296874,0.14075826728993768,0.9437604350530152,31.86787752640459,7.507266044616699,0.16562872097821624,0.9980568087449332,0.2402982352218226,1.3150384974356817,0.036699203671889065,0.9181327435178952,0.26567877676934554,22.07390451431274,0.21120045327182085,0.8723728078681069,11.742881620327795,32.123741149902344,0.12296968378230465,0.9550083527659876,26.48791753282857,5.567473562140214,0.13291986275525214
