name,test C6H6(GT) R2,test C6H6(GT) mae,test C6H6(GT) max relative mae,test C6H6(GT) mean relative mae,test CO(GT) R2,test CO(GT) mae,test CO(GT) max relative mae,test CO(GT) mean relative mae,test NO2(GT) R2,test NO2(GT) mae,test NO2(GT) max relative mae,test NO2(GT) mean relative mae,test NOx(GT) R2,test NOx(GT) mae,test NOx(GT) max relative mae,test NOx(GT) mean relative mae,train C6H6(GT) R2,train C6H6(GT) mae,train C6H6(GT) max relative mae,train C6H6(GT) mean relative mae,train CO(GT) R2,train CO(GT) mae,train CO(GT) max relative mae,train CO(GT) mean relative mae,train NO2(GT) R2,train NO2(GT) mae,train NO2(GT) max relative mae,train NO2(GT) mean relative mae,train NOx(GT) R2,train NOx(GT) mae,train NOx(GT) max relative mae,train NOx(GT) mean relative mae,test C6H6(GT) percentage,test C6H6(GT) ape 90,test C6H6(GT) ape 99,test C6H6(GT) ape 99.9,test CO(GT) percentage,test CO(GT) ape 90,test CO(GT) ape 99,test CO(GT) ape 99.9,test NO2(GT) percentage,test NO2(GT) ape 90,test NO2(GT) ape 99,test NO2(GT) ape 99.9,test NOx(GT) percentage,test NOx(GT) ape 90,test NOx(GT) ape 99,test NOx(GT) ape 99.9,test percentage mean,test ape 90 mean,test ape 99 mean,test ape 99.9 mean
results/relu_1024_kreg_mare_GN0.05_lr0.001,0.9999542898207643,0.031668688712948985,0.18811870032716047,0.004861988221753647,0.9153098677636893,0.2614660277478182,12.289864063262938,0.1723101851437118,0.8633276670772249,11.985650039316372,3.455887794494629,0.11624977333841507,0.9395273323281625,30.608296432338925,3.4147837956746425,0.15081838536633152,0.9999771966861456,0.023260051676306757,0.043319713908111145,0.0026006245553420898,0.9830462717997742,0.06329922897081351,1.1994978189468382,0.02425290045364205,0.9377968531365732,5.749066021962169,0.7926800871548587,0.043463894014974434,0.959852079315628,19.52520413946062,1.040523898216986,0.05855980622368288,0.48619888710213277,0.9563768593203572,4.065236087407353,9.828947171352699,17.231018897470904,31.075682339629505,133.4577977657318,614.4897356629427,11.624976813382716,24.485424607377173,55.554499561430646,143.56648564339025,15.081838297838136,31.68425185751473,67.74272885533284,139.1564319419336,11.10600822394847,22.05043391596044,65.20506556747566,226.76040010490482
results/relu_1024_areg_mare_GN0.05_lr0.001,0.999243592206683,0.1404511624958597,0.4286647563604335,0.0214570628924326,0.9085429942310556,0.267628173090819,14.269447565078735,0.18130323033554954,0.8474863525906136,12.5035138327492,4.797994613647461,0.12344536619052468,0.9307792275152235,32.3990703650752,2.694109916687012,0.15615337284764425,0.9999767890313246,0.02262667200549817,0.016348267227745936,0.002222976598843923,0.9989721720297948,0.011700545968741646,0.4941813656778046,0.005915919639467596,0.9916666558611144,1.108302152137142,0.4055741653751266,0.007853168433945235,0.993423126424242,3.870319408276768,0.3717654636928013,0.009806139969548244,2.145706766018562,4.8351465938191,14.639879407837139,34.87286962731008,18.13032545923015,32.89928932984671,143.40709547201794,786.8819177151008,12.344537164239796,26.04928615289333,63.22066050791754,148.31858385177145,15.615337935314994,33.08775450011771,71.52997652689615,236.5744013159185,12.058976831200871,24.217869144169214,73.1994029786672,301.6619431275252
results/relu_1024_kareg_mare_GN0.05_lr0.0001,0.9998986570345787,0.04604098692952071,0.3206128300125926,0.0074824349186941265,0.917307137073114,0.2543345479779161,15.266562938690186,0.17408877424848118,0.859889601286994,12.07444779436483,4.0915924708048514,0.11662318249340245,0.9401988135566277,30.298010499950554,2.4397706985473637,0.14816394199823385,0.9998939228619156,0.03166789203908092,0.09409431809215794,0.0033434158312721394,0.979654197465634,0.06694444131312244,1.3176996409893034,0.02423297091247867,0.9307120583950791,6.470279086246459,1.0347135360926798,0.05139214645984848,0.9566020486449616,21.22345404749956,1.821502447128296,0.0663203557182452,0.7482428117761056,1.643159265949502,6.099967912601837,14.48487911098817,17.408877861975498,31.119783900000836,138.5879245897134,741.5836483240238,11.662318620976059,24.617760830877863,55.55967944008963,134.26342754137121,14.816393925855458,30.577430400035148,69.65095520019531,171.05017018465347,11.158958305145777,21.98953359921584,67.47463178565005,265.34553129025915
results/relu_1024_mare_GN0.05_lr0.0001,0.999854613283141,0.05878741617136925,0.3707423056369466,0.008997854842109795,0.9064659885713042,0.2717586043870403,17.21530699729919,0.1842994424960373,0.8539619637751084,12.199074138933526,4.684612274169922,0.11718831485696905,0.9353474018368447,31.474742522267253,3.1397377649943032,0.14960669709605104,0.9999160532205419,0.04136561454706246,0.03694809045694455,0.004624339118154438,0.9849379606555966,0.0552592706627387,1.2635757923126218,0.020946242401352743,0.9111641608275608,8.081205463207624,1.054807480067423,0.06617454443175137,0.948414009109151,25.626015345455688,1.1257020683698755,0.09047015135025434,0.8997857243111227,1.799333071983814,6.869506278134425,16.872147342755756,18.429944722839604,33.16813526731549,125.44764280319214,732.9748928546989,11.718831722882262,24.519853245700546,53.29895809394161,139.31838699749574,14.960670107191046,31.671122550964355,63.99150228096267,118.18184579703825,11.502308069306018,22.78961103399105,62.401902364057705,251.83681824799714
results/relu_1024_kreg_mare_GN0.05_lr0.0001,0.999898077436984,0.042286044174405936,0.2574622642959332,0.006287102522227462,0.9132974633796545,0.2605634134191022,10.67406916618347,0.17692731127746536,0.8541612123387528,12.090980369966614,4.284056027730307,0.11561415271336872,0.937772157833261,30.86473517509784,2.794222831726074,0.1503412842107679,0.9998918350552292,0.03412542275385419,0.04131751145748784,0.003565893714087288,0.9742028961522596,0.08102224116666591,1.6050598804767315,0.02914395343121292,0.9166696039062628,7.4109824212940145,0.9207642384064504,0.058784198991653124,0.9528926962469332,23.294145882612018,1.394449705718666,0.0757462139286276,0.6287107880134554,1.2938923817156969,5.306093383515256,11.551978268781802,17.692732990735127,31.5036674340566,137.1574612955252,810.9413057566021,11.561415757783033,24.54207174603257,51.494795028896775,128.01110914775506,15.034128268769917,31.912297503604393,69.57757813589913,144.40456283813862,11.229246951325383,22.312982266352314,65.88398196095909,273.7272390028194
results/relu_1024_areg_mare_GN0.05_lr0.0001,0.9994606748967643,0.11916143501553896,0.4895461942094661,0.019180186588924186,0.9075901493012157,0.2668285488364554,17.881748914718624,0.18157360093281652,0.8514288742268964,12.431064882535695,2.1756089528401694,0.12131430447671107,0.933893452210227,31.703360129964604,3.2696746190389003,0.1571491218839423,0.9999563294953352,0.03291680774667029,0.04298866156483641,0.003450082901024982,0.9954883735635844,0.0239092731274646,0.5136637759931161,0.009958968684325416,0.9722099704596726,2.962659436292042,0.5854037821534191,0.021877392492514074,0.976683624578316,11.426943459282427,0.4705102103097098,0.03002830758959587,1.9180181896085835,4.012432626398527,15.935277919913847,33.42369968625098,18.157360229083647,30.94113866488138,151.0847459236781,874.6456548571914,12.131429425800556,25.818077210457094,60.403283657544854,158.17348573115237,15.714911566286942,32.39248834344238,72.39929411807958,197.92594938356555,11.980429852694941,23.291034211294846,74.95565040480409,316.04219741454006
results/relu_1024_kareg_mare_GN0.1_lr0.001,0.9998660473114256,0.059094614337918926,0.23219153089691816,0.009719432715058485,0.9195647077164875,0.25429481741952525,10.778328418731688,0.16668558718096274,0.8691017322662457,11.626180678433766,3.876388231913249,0.11346829790112145,0.9436287509376825,29.259326102324767,2.583301544189453,0.14536432310903105,0.9999671980149856,0.02844849467410635,0.038174813981464994,0.0031248916941982066,0.9954616215840572,0.025886170689438024,0.5052238305409749,0.009803343736623909,0.9684407116687004,3.2540557552427423,0.6987263915027202,0.02397154640574107,0.974418807090486,12.447952046855042,0.4967183794294085,0.032692393516778315,0.9719434728590031,2.2571781841183123,6.563324394730919,17.327797793148118,16.668556251464086,29.922032356262207,126.64348160227138,689.0241026878415,11.346829278265188,23.81433700098515,60.97060504712557,128.14863649281725,14.536431419823023,30.42800219048808,65.95240191979842,179.5245231441312,10.88094010560283,21.60538743296344,65.03245324098157,253.5062650294845
